record_type,scenario,v3_flow_count,v4_flow_count,reliably_matched_flows,unmatched_v3,unmatched_v4,orientation_differences,segmentation_boundary_differences,start_timestamp_difference_seconds,matching,v3_header,v4_header,matched_finite_count,exact_equality_percentage,mean_absolute_difference,max_absolute_difference,mean_symmetric_relative_difference,correlation
feature_comparison,normal-http-test,,,,,,,,,,Pkt Len Std,Packet Length Std,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Pkt Len Var,Packet Length Variance,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,FIN Flag Cnt,FIN Flag Count,61.0,1.639344262295082,0.9836065573770492,1.0,0.9836065573770492,
feature_comparison,normal-http-test,,,,,,,,,,SYN Flag Cnt,SYN Flag Count,61.0,50.81967213114754,0.9836065573770492,2.0,0.4918032786885246,
feature_comparison,normal-http-test,,,,,,,,,,RST Flag Cnt,RST Flag Count,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,PSH Flag Cnt,PSH Flag Count,61.0,50.81967213114754,0.9836065573770492,2.0,0.32786885245901637,1.0
feature_comparison,normal-http-test,,,,,,,,,,ACK Flag Cnt,ACK Flag Count,61.0,1.639344262295082,3.9672131147540983,8.0,0.8196721311475409,-0.8723059078556464
feature_comparison,normal-http-test,,,,,,,,,,URG Flag Cnt,URG Flag Count,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,CWE Flag Count,CWR Flag Count,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,ECE Flag Cnt,ECE Flag Count,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Down/Up Ratio,Down/Up Ratio,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Pkt Size Avg,Average Packet Size,61.0,100.0,0.0,0.0,0.0,1.0
