id,target_ip,interface_name,model_id,status,started_at,stopped_at,created_by_user_id,created_at,updated_at,last_error,runtime_handle,flow_count,prediction_count,alert_count,extractor_name,extractor_version,latest_processing_at,extractor_identity,artifact_key,artifact_root,processing_state,selection_mode,selected_model_version,selected_model_sha256
20,10.10.20.2,enp0s3,5,STOPPED,2026-09-17 09:13:14.130412+00,2026-09-17 09:22:58.336831+00,1,2026-09-17 09:13:12.984194+00,2026-09-17 09:22:58.337104+00,,,58,58,12,CICFlowMeter V3,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,2026-09-17 09:15:34.360174+00,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,c79b5cf9c9f140f8977e39e3aaf32d47,/app/data/runtime/monitoring/20-c79b5cf9c9f140f8977e39e3aaf32d47,,MANUAL / DEMO SELECTION,rf-v5-candidate-01,31d7d50fa79e3400e7d357cab05c780e038bc527b746d0be6ff894828c6b8d17
21,10.10.20.2,enp0s3,5,STOPPED,2026-09-17 09:23:27.547884+00,2026-09-17 09:39:23.955967+00,1,2026-09-17 09:23:26.428839+00,2026-09-17 09:39:23.956085+00,,,535,535,453,CICFlowMeter V3,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,2026-09-17 09:37:10.354126+00,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,057993cd0922433a87f656f2c62d4eb8,/app/data/runtime/monitoring/21-057993cd0922433a87f656f2c62d4eb8,,MANUAL / DEMO SELECTION,rf-v5-candidate-01,31d7d50fa79e3400e7d357cab05c780e038bc527b746d0be6ff894828c6b8d17
22,10.10.10.2,enp0s3,5,STOPPED,2026-09-17 09:39:47.317647+00,2026-09-17 09:43:36.516838+00,1,2026-09-17 09:39:46.215489+00,2026-09-17 09:43:36.516928+00,,,1000,1000,1000,CICFlowMeter V3,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,2026-09-17 09:42:28.914211+00,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,014b966692a04ada91ce0858cbc1fb49,/app/data/runtime/monitoring/22-014b966692a04ada91ce0858cbc1fb49,,MANUAL / DEMO SELECTION,rf-v5-candidate-01,31d7d50fa79e3400e7d357cab05c780e038bc527b746d0be6ff894828c6b8d17
