id,monitoring_session_id,artifact_key,window_number,state,pcap_relative_path,pcap_sha256,pcap_size,csv_relative_path,csv_sha256,csv_size,extractor_identity,extracted_row_count,adapted_row_count,error_stage,error_message,capture_started_at,capture_finished_at,extraction_finished_at,committed_at,created_at
1217,20,609b9bf3a0564e839f3b3b6e04353fc5,11,COMMITTED,pcap/window-000011.pcap,c10a72209a17335b6b7e6536de391603e55adf52e41303a80b543a8204ea5540,10355,flows/window-000011/window-000011.pcap_ISCX.csv,ec65cae4678f4aa94d741e02cb48d986e64f49956f9965e137353a098c950234,10004,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,19,19,,,2026-09-17 09:15:06.921748+00,2026-09-17 09:15:16.948184+00,2026-09-17 09:15:19.580575+00,2026-09-17 09:15:20.456315+00,2026-09-17 09:15:06.922159+00
1218,20,549dea1b8c5c4dbdb816de291cf0f057,12,COMMITTED,pcap/window-000012.pcap,1ce1d4d25a00a8083457c05317d4e64fd0f386c2a3792002beb873e246710178,11490,flows/window-000012/window-000012.pcap_ISCX.csv,3a956e7367cdd6a61124ad426188bf96088214c5b96b6cfdb23e5945f26dd147,10997,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,21,21,,,2026-09-17 09:15:20.462457+00,2026-09-17 09:15:30.535801+00,2026-09-17 09:15:33.334248+00,2026-09-17 09:15:34.355921+00,2026-09-17 09:15:20.462916+00
1219,20,586e7665c05d4fe98a5487b5c403635a,13,FAILED,pcap/window-000013.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:15:34.364218+00,2026-09-17 09:15:44.407701+00,,,2026-09-17 09:15:34.364851+00
1220,20,9614910489464bb18180bec14e6a0cae,14,FAILED,pcap/window-000014.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:15:44.415047+00,2026-09-17 09:15:54.455344+00,,,2026-09-17 09:15:44.416149+00
1221,20,5a0cb5cca3e0450dad8b9424461765a4,15,FAILED,pcap/window-000015.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:15:54.46905+00,2026-09-17 09:16:04.601258+00,,,2026-09-17 09:15:54.470825+00
1222,20,5f8d2d7a1f1e4b729b8125ac02f56ef3,16,FAILED,pcap/window-000016.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:16:04.618574+00,2026-09-17 09:16:14.737189+00,,,2026-09-17 09:16:04.619838+00
1223,20,50ccfffcac3a481aa847cedeb16daf73,17,FAILED,pcap/window-000017.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:16:14.753316+00,2026-09-17 09:16:24.804161+00,,,2026-09-17 09:16:14.754399+00
1224,20,cfdd04f581834c02aaf7d7a90fdf0ce0,18,FAILED,pcap/window-000018.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:16:24.816779+00,2026-09-17 09:16:34.898964+00,,,2026-09-17 09:16:24.818795+00
1225,20,e5db71a524ef460ead05286b2f93a04f,19,FAILED,pcap/window-000019.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:16:34.906901+00,2026-09-17 09:16:44.95851+00,,,2026-09-17 09:16:34.907877+00
1226,20,c74cfc2c93e2477f8e08e555a93c196f,20,FAILED,pcap/window-000020.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:16:44.972637+00,2026-09-17 09:16:55.052925+00,,,2026-09-17 09:16:44.974169+00
1227,20,597650b0947a4d5cb5bedb9224610d3f,21,FAILED,pcap/window-000021.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:16:55.063975+00,2026-09-17 09:17:05.135126+00,,,2026-09-17 09:16:55.065181+00
1228,20,c9b0ab90cffb4c6da7167c34571caebc,22,FAILED,pcap/window-000022.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:17:05.148601+00,2026-09-17 09:17:15.24493+00,,,2026-09-17 09:17:05.150659+00
1229,20,51eec0af6f5145928d4ab090381efac9,23,FAILED,pcap/window-000023.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:17:15.254354+00,2026-09-17 09:17:25.377344+00,,,2026-09-17 09:17:15.255904+00
1230,20,9b2051e4cb994bd292b3854c6c5687e2,24,FAILED,pcap/window-000024.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:17:25.395424+00,2026-09-17 09:17:35.513998+00,,,2026-09-17 09:17:25.396995+00
1231,20,5fdad738476c4333af012a1e2954fcb2,25,FAILED,pcap/window-000025.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:17:35.529083+00,2026-09-17 09:17:45.638977+00,,,2026-09-17 09:17:35.53096+00
1232,20,5c29dac31a7848d28fa2bce5befe5b78,26,FAILED,pcap/window-000026.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:17:45.655055+00,2026-09-17 09:17:55.779879+00,,,2026-09-17 09:17:45.657138+00
1233,20,ed604d970dcd4a76b274b33c5435510b,27,FAILED,pcap/window-000027.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:17:55.791598+00,2026-09-17 09:18:05.883775+00,,,2026-09-17 09:17:55.792869+00
1234,20,e9fc43b46a32448e9dc2bd6fa19dac5d,28,FAILED,pcap/window-000028.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:18:05.898424+00,2026-09-17 09:18:15.935613+00,,,2026-09-17 09:18:05.901187+00
1235,20,1ecf764491bf463d96669194d178bb0f,29,FAILED,pcap/window-000029.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:18:15.943814+00,2026-09-17 09:18:26.049928+00,,,2026-09-17 09:18:15.945154+00
1236,20,955d44f28a064262ad5f46ebda230a4d,30,FAILED,pcap/window-000030.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:18:26.058038+00,2026-09-17 09:18:36.170577+00,,,2026-09-17 09:18:26.059463+00
1237,20,5009ca8d2ee542409358cb760110c27b,31,FAILED,pcap/window-000031.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:18:36.178701+00,2026-09-17 09:18:46.273081+00,,,2026-09-17 09:18:36.179842+00
1238,20,459a84a94ee54075bcdd790a316f966b,32,FAILED,pcap/window-000032.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:18:46.283505+00,2026-09-17 09:18:56.386508+00,,,2026-09-17 09:18:46.284547+00
1239,20,a7b54eeba78548dbb4c52c485ffd79ec,33,FAILED,pcap/window-000033.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:18:56.402796+00,2026-09-17 09:19:06.471261+00,,,2026-09-17 09:18:56.405009+00
1240,20,ff0d6c6eb42f4091922a4240bc18cb36,34,FAILED,pcap/window-000034.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:19:06.490097+00,2026-09-17 09:19:16.615458+00,,,2026-09-17 09:19:06.492289+00
1241,20,c06a7f450411446682219a7feee8b9ff,35,FAILED,pcap/window-000035.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:19:16.633862+00,2026-09-17 09:19:26.678474+00,,,2026-09-17 09:19:16.635005+00
1242,20,9f57cabb65c9413a9584715a8062d63a,36,FAILED,pcap/window-000036.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:19:26.694943+00,2026-09-17 09:19:36.752087+00,,,2026-09-17 09:19:26.696755+00
1243,20,c172b7d00a234ef3b525d38256044c8c,37,FAILED,pcap/window-000037.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:19:36.779644+00,2026-09-17 09:19:46.896293+00,,,2026-09-17 09:19:36.781579+00
1244,20,fd6d5e5a214c4d99ac42430bfe5107a3,38,FAILED,pcap/window-000038.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:19:46.916321+00,2026-09-17 09:19:56.983326+00,,,2026-09-17 09:19:46.91806+00
1245,20,f28b6bb91c6c49039e6aafae7de1579a,39,FAILED,pcap/window-000039.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:19:56.998489+00,2026-09-17 09:20:07.110933+00,,,2026-09-17 09:19:57.000611+00
1246,20,80f34649d86447c7a4f2c4e54fa06b20,40,FAILED,pcap/window-000040.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:20:07.135438+00,2026-09-17 09:20:17.258811+00,,,2026-09-17 09:20:07.137728+00
1247,20,fa04b3608d75431c9faf3b6a630a2a8c,41,FAILED,pcap/window-000041.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:20:17.278295+00,2026-09-17 09:20:27.382805+00,,,2026-09-17 09:20:17.281754+00
1248,20,938c0b7db2494071bc6638c3d799225b,42,FAILED,pcap/window-000042.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:20:27.392127+00,2026-09-17 09:20:37.482488+00,,,2026-09-17 09:20:27.393151+00
1249,20,41e940f000aa4ee3a3e82372245d83e7,43,FAILED,pcap/window-000043.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:20:37.507129+00,2026-09-17 09:20:47.588089+00,,,2026-09-17 09:20:37.509187+00
1250,20,72b4d2c18f384cc6ace5016efdc947ca,44,FAILED,pcap/window-000044.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:20:47.61063+00,2026-09-17 09:20:57.655955+00,,,2026-09-17 09:20:47.614004+00
1251,20,858dffa1686041a89629553239c85e74,45,FAILED,pcap/window-000045.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:20:57.673273+00,2026-09-17 09:21:07.781153+00,,,2026-09-17 09:20:57.674476+00
1252,20,ce58f36e818a431c8c73df48d4c2830b,46,FAILED,pcap/window-000046.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:21:07.797913+00,2026-09-17 09:21:18.014209+00,,,2026-09-17 09:21:07.799531+00
1253,20,25ee64fa0898444f88ffec03a7b06efc,47,FAILED,pcap/window-000047.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:21:18.065236+00,2026-09-17 09:21:28.170231+00,,,2026-09-17 09:21:18.070733+00
1254,20,77bfdd3e7c344ae1b8b9617fd6655d78,48,FAILED,pcap/window-000048.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:21:28.183209+00,2026-09-17 09:21:38.271079+00,,,2026-09-17 09:21:28.18521+00
1255,20,5e7f384cd86a44f3a4407ff82947a02e,49,FAILED,pcap/window-000049.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:21:38.283348+00,2026-09-17 09:21:48.388109+00,,,2026-09-17 09:21:38.28486+00
1256,20,d86627b61369496badf2fcb2cb173efe,50,FAILED,pcap/window-000050.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:21:48.402002+00,2026-09-17 09:21:58.447005+00,,,2026-09-17 09:21:48.40334+00
1257,20,88758298be604269ac5a9e3e0ed96c02,51,FAILED,pcap/window-000051.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:21:58.464535+00,2026-09-17 09:22:08.565636+00,,,2026-09-17 09:21:58.469255+00
1258,20,87b1c04632904a7ba7b14e9439e26044,52,FAILED,pcap/window-000052.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:22:08.576308+00,2026-09-17 09:22:18.703269+00,,,2026-09-17 09:22:08.577816+00
1259,20,64842ca39f4e4695b4112dca14f78ad2,53,FAILED,pcap/window-000053.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:22:18.722054+00,2026-09-17 09:22:28.782842+00,,,2026-09-17 09:22:18.72386+00
1260,20,9262927596c340a0aaedfba92ce35c58,54,FAILED,pcap/window-000054.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:22:28.806065+00,2026-09-17 09:22:38.913316+00,,,2026-09-17 09:22:28.808321+00
1261,20,d47a7da6881647e98ac51118b3669b81,55,FAILED,pcap/window-000055.pcap,704e5e5b3234433c01fcfd1b20a306e77e985038120492dc53965c3edd38a4ea,24,,,,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,0,0,NO_TRAFFIC,No traffic observed in capture window,2026-09-17 09:22:38.926792+00,2026-09-17 09:22:49.101964+00,,,2026-09-17 09:22:38.927903+00
