id,status,target_ip,interface_name,model_id,selected_model_version,selected_model_sha256,selection_mode,extractor_name,extractor_version,extractor_identity,artifact_key,artifact_root,flow_count,prediction_count,alert_count,started_at,stopped_at
20,STOPPED,10.10.20.2,enp0s3,5,rf-v5-candidate-01,31d7d50fa79e3400e7d357cab05c780e038bc527b746d0be6ff894828c6b8d17,MANUAL / DEMO SELECTION,CICFlowMeter V3,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,c79b5cf9c9f140f8977e39e3aaf32d47,/app/data/runtime/monitoring/20-c79b5cf9c9f140f8977e39e3aaf32d47,58,58,12,2026-09-17 09:13:14.130412+00,2026-09-17 09:22:58.336831+00
21,STOPPED,10.10.20.2,enp0s3,5,rf-v5-candidate-01,31d7d50fa79e3400e7d357cab05c780e038bc527b746d0be6ff894828c6b8d17,MANUAL / DEMO SELECTION,CICFlowMeter V3,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,057993cd0922433a87f656f2c62d4eb8,/app/data/runtime/monitoring/21-057993cd0922433a87f656f2c62d4eb8,535,535,453,2026-09-17 09:23:27.547884+00,2026-09-17 09:39:23.955967+00
22,STOPPED,10.10.10.2,enp0s3,5,rf-v5-candidate-01,31d7d50fa79e3400e7d357cab05c780e038bc527b746d0be6ff894828c6b8d17,MANUAL / DEMO SELECTION,CICFlowMeter V3,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,sha256:b12b3a4a4218968aba2436685a4eb113473e5681de70705409e834e4613a879b,014b966692a04ada91ce0858cbc1fb49,/app/data/runtime/monitoring/22-014b966692a04ada91ce0858cbc1fb49,1000,1000,1000,2026-09-17 09:39:47.317647+00,2026-09-17 09:43:36.516838+00
