Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,152,0,9,9.756890467171711,2.857164001397905,22.678381001242087,35.0,2.5852339893208924,0.0,9,11,12,13,14,15,20,22,23,23,23
,Aggregated,152,0,9,9.756890467171711,2.857164001397905,22.678381001242087,35.0,2.5852339893208924,0.0,9,11,12,13,14,15,20,22,23,23,23
