Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789539879,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789539880,1,,Aggregated,0.000000,0.000000,13,13,13,13,13,13,13,13,13,13,13,1,0,12.90334800069104,12.90334800069104,12.90334800069104,12.90334800069104,35.0
1789539881,2,,Aggregated,0.000000,0.000000,10,10,13,13,13,13,13,13,13,13,13,3,0,10,9.455193666629688,5.513414998858934,12.90334800069104,35.0
1789539882,3,,Aggregated,0.000000,0.000000,11,12,12,13,13,13,13,13,13,13,13,5,0,11,10.33345720024954,5.513414998858934,12.90334800069104,35.0
1789539883,4,,Aggregated,1.000000,0.000000,11,12,13,13,13,13,13,13,13,13,13,8,0,10,10.262438750260117,5.513414998858934,12.90334800069104,35.0
1789539884,4,,Aggregated,1.666667,0.000000,10,11,12,12,13,13,13,13,13,13,13,11,0,10,10.042363000386764,5.513414998858934,12.90334800069104,35.0
1789539885,4,,Aggregated,1.500000,0.000000,10,10,11,12,13,13,13,13,13,13,13,13,0,10,9.78889453877995,5.513414998858934,12.90334800069104,35.0
1789539886,4,,Aggregated,1.800000,0.000000,10,11,12,13,13,14,14,14,14,14,14,17,0,10,9.973352941468715,5.513414998858934,13.956260001577903,35.0
1789539887,4,,Aggregated,2.000000,0.000000,10,10,12,13,13,14,14,14,14,14,14,20,0,10,9.651830950224394,3.564762999303639,13.956260001577903,35.0
1789539888,4,,Aggregated,2.000000,0.000000,10,10,11,12,13,13,14,14,14,14,14,22,0,10,9.610807409361852,3.564762999303639,13.956260001577903,35.0
1789539889,4,,Aggregated,2.125000,0.000000,10,10,11,12,13,13,14,14,14,14,14,25,0,10,9.56337836018065,3.564762999303639,13.956260001577903,35.0
1789539890,4,,Aggregated,2.222222,0.000000,10,10,11,12,13,13,14,14,14,14,14,27,0,10,9.510084111281214,3.564762999303639,13.956260001577903,35.0
1789539891,4,,Aggregated,2.300000,0.000000,10,10,12,13,13,14,20,20,20,20,20,30,0,10,9.978935300144562,3.564762999303639,20.051110001077177,35.0
1789539892,4,,Aggregated,2.500000,0.000000,10,10,12,13,13,14,20,20,20,20,20,33,0,10,9.985869454656935,3.564762999303639,20.051110001077177,35.0
1789539893,4,,Aggregated,2.600000,0.000000,10,10,12,13,13,20,23,23,23,23,23,35,0,10,10.324082343036675,3.564762999303639,22.678381001242087,35.0
1789539894,4,,Aggregated,2.500000,0.000000,10,10,12,13,14,20,23,23,23,23,23,38,0,10,10.283761868585747,3.564762999303639,22.678381001242087,35.0
1789539895,4,,Aggregated,2.800000,0.000000,10,10,12,13,14,20,23,23,23,23,23,39,0,10,10.161512410400647,3.564762999303639,22.678381001242087,35.0
1789539896,4,,Aggregated,2.700000,0.000000,10,10,12,13,13,16,23,23,23,23,23,42,0,10,9.984854523974631,3.564762999303639,22.678381001242087,35.0
1789539897,4,,Aggregated,2.600000,0.000000,10,10,12,13,13,16,23,23,23,23,23,46,0,9,9.906442826159827,3.564762999303639,22.678381001242087,35.0
1789539898,4,,Aggregated,2.700000,0.000000,9,10,12,13,13,16,23,23,23,23,23,47,0,9,9.89105982985843,3.564762999303639,22.678381001242087,35.0
1789539899,4,,Aggregated,2.800000,0.000000,9,10,11,13,13,16,23,23,23,23,23,50,0,9,9.828414780058665,3.564762999303639,22.678381001242087,35.0
1789539900,4,,Aggregated,2.600000,0.000000,9,10,11,12,13,16,20,23,23,23,23,52,0,9,9.838801788506457,3.564762999303639,22.678381001242087,35.0
1789539901,4,,Aggregated,2.600000,0.000000,9,10,11,12,13,16,20,23,23,23,23,55,0,9,9.86128830915153,3.564762999303639,22.678381001242087,35.0
1789539902,4,,Aggregated,2.500000,0.000000,9,10,11,12,13,20,22,23,23,23,23,59,0,9,9.900221474631739,3.564762999303639,22.678381001242087,35.0
1789539903,4,,Aggregated,2.600000,0.000000,10,10,11,12,13,16,22,23,23,23,23,62,0,9,9.90076154844686,3.564762999303639,22.678381001242087,35.0
1789539904,4,,Aggregated,2.600000,0.000000,10,10,11,12,13,16,22,23,23,23,23,63,0,10,9.909841396865742,3.564762999303639,22.678381001242087,35.0
1789539905,4,,Aggregated,2.500000,0.000000,10,10,11,12,14,16,22,23,23,23,23,67,0,10,9.98950770152268,3.564762999303639,22.678381001242087,35.0
1789539906,4,,Aggregated,2.700000,0.000000,10,10,11,13,14,16,22,23,23,23,23,70,0,10,10.102189328582815,3.564762999303639,22.678381001242087,35.0
1789539907,4,,Aggregated,2.800000,0.000000,10,10,12,13,14,16,22,23,23,23,23,71,0,10,10.166069464798005,3.564762999303639,22.678381001242087,35.0
