Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,158,0,9,8.702494405111747,2.3031279997667298,30.24313700007042,35.0,2.674367715357344,0.0,9,9,10,10,11,13,17,26,30,30,30
,Aggregated,158,0,9,8.702494405111747,2.3031279997667298,30.24313700007042,35.0,2.674367715357344,0.0,9,9,10,10,11,13,17,26,30,30,30
