metric,rf_v1,rf_v2,rf_v2_minus_rf_v1
accuracy,0.0019436955295002822,0.10295316320772462,0.10100946767822433
macro_precision,0.3339603712064209,0.6667590292894978,0.3327986580830769
macro_recall,0.33409610983981697,0.6594082551777278,0.32531214533791086
macro_f1,0.002773791131755936,0.3768228042860999,0.37404901315434397
Normal_recall,1.0,0.9333333333333333,-0.06666666666666665
DDoS_recall,0.0,0.07692804547216121,0.07692804547216121
PortScan_recall,0.002288329519450801,0.9679633867276888,0.965675057208238
Normal_FPR,0.999937181983793,0.8986117218418243,-0.10132546014196875
attack_detection_rate,6.281801620704818e-05,0.10138827815817576,0.10132546014196872
