Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,09/09/2026 08:40:56,109568897,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.16428019714390296,6445229.235294118,9158239.726275735,2.2015648E7,21.0,1.09568897E8,6445229.235294118,9158239.726275735,2.2015648E7,21.0,0,0,0,0,0,0,0,0,0,0,0,0.16428019714390296,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,18,0,0,0,-1,-1,0,0,6817.5,15879.807993171706,39210.0,21.0,1.7749029E7,5455309.640855668,2.2015648E7,9252213.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,09/09/2026 08:43:07,118822367,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.134654782630277,7921491.133333334,1.0471443602744648E7,3.1269408E7,13.0,1.18822367E8,7921491.133333334,1.0471443602744648E7,3.1269408E7,13.0,0,0,0,0,0,0,0,0,0,0,0,0.134654782630277,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16,0,0,0,-1,-1,0,0,429.0,680.2832743301376,1656.0,13.0,1.697408785714286E7,8751462.236759951,3.1269408E7,6692793.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,09/09/2026 08:45:18,92160202,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.10850670661507447,1.0240022444444444E7,1.3805523686288327E7,3.3318116E7,17.0,9.2160202E7,1.0240022444444444E7,1.3805523686288327E7,3.3318116E7,17.0,0,0,0,0,0,0,0,0,0,0,0,0.10850670661507447,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,458.25,461.7599484580706,869.0,29.0,2.3039588E7,1.0726477344511788E7,3.3318116E7,1.3275511E7,No Label
10.10.10.2-10.10.20.2-49780-516-6,10.10.10.2,49780,10.10.20.2,516,6,09/09/2026 08:43:50,426,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4694.835680751174,426.0,0.0,426.0,426.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,2347.417840375587,2347.417840375587,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-49780-1467-6,10.10.10.2,49780,10.10.20.2,1467,6,09/09/2026 08:46:43,1401,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.5517487508923,1401.0,0.0,1401.0,1401.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,713.7758743754462,713.7758743754462,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-49780-769-6,10.10.10.2,49780,10.10.20.2,769,6,09/09/2026 08:45:26,875,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2285.714285714286,875.0,0.0,875.0,875.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,1142.857142857143,1142.857142857143,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-49780-930-6,10.10.10.2,49780,10.10.20.2,930,6,09/09/2026 08:42:21,795,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2515.7232704402513,795.0,0.0,795.0,795.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,1257.8616352201257,1257.8616352201257,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-49780-1214-6,10.10.10.2,49780,10.10.20.2,1214,6,09/09/2026 08:44:01,588,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3401.360544217687,588.0,0.0,588.0,588.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,1700.6802721088436,1700.6802721088436,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-49780-976-6,10.10.10.2,49780,10.10.20.2,976,6,09/09/2026 08:45:03,869,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2301.4959723820484,869.0,0.0,869.0,869.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,1150.7479861910242,1150.7479861910242,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-49780-723-6,10.10.10.2,49780,10.10.20.2,723,6,09/09/2026 08:43:02,761,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2628.120893561104,761.0,0.0,761.0,761.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,1314.060446780552,1314.060446780552,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
